files,solar_1,solar_2,solar_3,solar_4,solar_5,solar_6,solar_7,solar_8,solar_9,solar_10,solar_11,solar_12
D:\Dropbox\matlab_works\00_A\label_zoom\z001.png,53,100,359,265,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z002.png,35,53,382,352,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z003.png,37,56,289,333,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z004.png,10,153,81,1,282,179,276,59,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z005.png,86,47,234,308,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z006.png,57,113,260,195,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z007.png,1,339,85,1,415,78,324,174,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z008.png,72,1,291,104,327,377,258,109,126,301,90,40
D:\Dropbox\matlab_works\00_A\label_zoom\z009.png,1,33,366,360,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z010.png,164,3,789,1007,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z011.png,168,210,703,691,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z012.png,153,16,630,972,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z013.png,79,150,812,760,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z014.png,164,61,180,288,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z015.png,1,53,336,364,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z016.png,229,180,628,563,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z017.png,175,208,641,608,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z018.png,1,178,958,729,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z019.png,224,69,569,895,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z020.png,211,142,702,742,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z021.png,244,347,586,205,547,763,781,523,439,357,266,199
D:\Dropbox\matlab_works\00_A\label_zoom\z022.png,28,1,150,541,997,121,716,176,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z023.png,47,227,969,607,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z024.png,37,242,964,641,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z025.png,1,560,99,490,796,465,639,492,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z026.png,1,34,898,905,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z027.png,253,251,475,461,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z028.png,143,230,715,495,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z029.png,1,265,1013,509,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z030.png,42,130,827,733,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z031.png,169,298,753,461,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z032.png,28,129,955,816,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z033.png,275,16,458,1001,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z034.png,162,101,647,853,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z035.png,149,188,644,708,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z036.png,418,147,349,359,592,284,359,202,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z037.png,174,119,747,781,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z038.png,102,430,923,542,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z039.png,258,129,626,765,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z040.png,129,127,693,797,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z041.png,118,334,678,409,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z042.png,96,756,288,163,820,184,459,153,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z043.png,189,1,247,1,690,299,577,255,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z044.png,97,306,730,450,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z045.png,252,82,281,880,541,367,502,145,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z046.png,176,125,547,771,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z047.png,146,105,600,756,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z048.png,115,209,785,633,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z049.png,310,218,418,526,,,,,,,,
D:\Dropbox\matlab_works\00_A\label_zoom\z050.png,224,158,556,613,,,,,,,,
